AC,AG,AT,CG,CT,GT,piA1,piC1,piG1,piT1,piA2,piC2,piG2,piT2,piA3,piC3,piG3,piT3,omega,epsilon,number_of_sequences,number_of_sites,epistatic_sites,seed,mean_bl,stddev_bl
0.1762824741,1,0.1279118545,0.04675041524,0.2803392525,0.1443056515,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.8,2,50,501,20,1,0.007152316725,0.005652364254
0.1762824741,1,0.1279118545,0.04675041524,0.2803392525,0.1443056515,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.8,2,50,501,20,2,0.007152316725,0.005652364254
0.1762824741,1,0.1279118545,0.04675041524,0.2803392525,0.1443056515,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.8,2,50,501,20,3,0.007152316725,0.005652364254
0.1762824741,1,0.1279118545,0.04675041524,0.2803392525,0.1443056515,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.8,2,50,501,20,4,0.007152316725,0.005652364254
0.1762824741,1,0.1279118545,0.04675041524,0.2803392525,0.1443056515,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.8,2,50,501,20,5,0.007152316725,0.005652364254
0.1762824741,1,0.1279118545,0.04675041524,0.2803392525,0.1443056515,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.8,2,50,501,20,6,0.007152316725,0.005652364254
0.1762824741,1,0.1279118545,0.04675041524,0.2803392525,0.1443056515,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.8,2,50,501,20,7,0.007152316725,0.005652364254
0.1762824741,1,0.1279118545,0.04675041524,0.2803392525,0.1443056515,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.8,2,50,501,20,8,0.007152316725,0.005652364254
0.1762824741,1,0.1279118545,0.04675041524,0.2803392525,0.1443056515,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.8,2,50,501,20,9,0.007152316725,0.005652364254
0.1762824741,1,0.1279118545,0.04675041524,0.2803392525,0.1443056515,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.8,2,50,501,20,10,0.007152316725,0.005652364254
0.1762824741,1,0.1279118545,0.04675041524,0.2803392525,0.1443056515,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.8,2,50,501,20,11,0.007152316725,0.005652364254
0.1762824741,1,0.1279118545,0.04675041524,0.2803392525,0.1443056515,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.8,2,50,501,20,12,0.007152316725,0.005652364254
0.1762824741,1,0.1279118545,0.04675041524,0.2803392525,0.1443056515,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.8,2,50,501,20,13,0.007152316725,0.005652364254
0.1762824741,1,0.1279118545,0.04675041524,0.2803392525,0.1443056515,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.8,2,50,501,20,14,0.007152316725,0.005652364254
0.1762824741,1,0.1279118545,0.04675041524,0.2803392525,0.1443056515,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.8,2,50,501,20,15,0.007152316725,0.005652364254
0.1762824741,1,0.1279118545,0.04675041524,0.2803392525,0.1443056515,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.8,2,50,501,20,16,0.007152316725,0.005652364254
0.1762824741,1,0.1279118545,0.04675041524,0.2803392525,0.1443056515,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.8,2,50,501,20,17,0.007152316725,0.005652364254
0.1762824741,1,0.1279118545,0.04675041524,0.2803392525,0.1443056515,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.8,2,50,501,20,18,0.007152316725,0.005652364254
0.1762824741,1,0.1279118545,0.04675041524,0.2803392525,0.1443056515,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.8,2,50,501,20,19,0.007152316725,0.005652364254
0.1762824741,1,0.1279118545,0.04675041524,0.2803392525,0.1443056515,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.8,2,50,501,20,20,0.007152316725,0.005652364254
0.1762824741,1,0.1279118545,0.04675041524,0.2803392525,0.1443056515,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.8,2,50,501,20,21,0.007152316725,0.005652364254
0.1762824741,1,0.1279118545,0.04675041524,0.2803392525,0.1443056515,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.8,2,50,501,20,22,0.007152316725,0.005652364254
0.1762824741,1,0.1279118545,0.04675041524,0.2803392525,0.1443056515,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.8,2,50,501,20,23,0.007152316725,0.005652364254
0.1762824741,1,0.1279118545,0.04675041524,0.2803392525,0.1443056515,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.8,2,50,501,20,24,0.007152316725,0.005652364254
0.1762824741,1,0.1279118545,0.04675041524,0.2803392525,0.1443056515,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.8,2,50,501,20,25,0.007152316725,0.005652364254
0.1762824741,1,0.1279118545,0.04675041524,0.2803392525,0.1443056515,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.8,2,50,501,20,26,0.007152316725,0.005652364254
